ID,Link,Title,Subtitle,Extra
1044547,https://book.douban.com/subject/1044547/,射雕英雄传（全四册）,,金庸|生活·读书·新知三联书店|1999-04|47.00元
1767945,https://book.douban.com/subject/1767945/,一只特立独行的猪,,王小波|北方文艺出版社|2006-4|18.80元
1449352,https://book.douban.com/subject/1449352/,朝花夕拾,,鲁迅|人民文学出版社|1972年4月|0.25元
24934182,https://book.douban.com/subject/24934182/,一个人的朝圣,,【英】蕾秋·乔伊斯|黄妙瑜|北京联合出版公司|2013-9-1|32.80
1043008,https://book.douban.com/subject/1043008/,格林童话全集,,[德国]格林兄弟|魏以新|人民文学出版社|1994-11|21.45元
1013208,https://book.douban.com/subject/1013208/,如何阅读一本书,,[美] 莫提默·J. 艾德勒|郝明义|商务印书馆|2004-1|38.00元
6781808,https://book.douban.com/subject/6781808/,杀死一只知更鸟,,[美] 哈珀·李|高红梅|译林出版社|2012-9|32.00元
1085470,https://book.douban.com/subject/1085470/,海底两万里,,[法国] 儒尔·凡尔纳|沈国华|译林出版社|2002-9|19.50元
4207781,https://book.douban.com/subject/4207781/,孩子你慢慢来,,龙应台|生活·读书·新知三联书店|2009-12-1|28.00元
1056733,https://book.douban.com/subject/1056733/,地下铁,,幾米|辽宁教育出版社|2002-2|32.00元
1051193,https://book.douban.com/subject/1051193/,麦琪的礼物,欧·亨利短篇小说经典,[美] 欧·亨利|张经浩|上海社会科学院出版社|2003-7|25.00元
26602392,https://book.douban.com/subject/26602392/,你今天真好看,,[美]莉兹•克里莫|周高逸|雅众文化|天津人民出版社|2015-8|39.00元
2035162,https://book.douban.com/subject/2035162/,刀锋,,[英]毛姆|周煦良|上海译文出版社|2007-3|18.00元
1022238,https://book.douban.com/subject/1022238/,菊与刀,日本文化的类型,（美）鲁思・本尼迪克特|吕万和|商务印书馆|1990-6|16.00
1812439,https://book.douban.com/subject/1812439/,步步惊心,,桐华|民族出版社|2006-6|25.00元
4124727,https://book.douban.com/subject/4124727/,孤独六讲,,蒋勋|广西师范大学出版社|2009-10-1|36.00元
1316648,https://book.douban.com/subject/1316648/,查令十字街84号,,[美] 海莲·汉芙|陈建铭|译林出版社|2005-05-01|18.00元
1358873,https://book.douban.com/subject/1358873/,月亮忘記了,,幾米|格林|2000-2-1|NT$ 299
3266609,https://book.douban.com/subject/3266609/,流浪地球,刘慈欣获奖作品,刘慈欣|湖北长江出版集团，长江文艺出版社|2008-11|28.00元
1020459,https://book.douban.com/subject/1020459/,此间的少年,,江南|华文出版社|2004-1|25.00元
1080309,https://book.douban.com/subject/1080309/,尘埃落定,,阿来|人民文学出版社|1998-3-1|22.0
1192090,https://book.douban.com/subject/1192090/,球状闪电,,刘慈欣|四川科学技术出版社|2005-6|22.00元
4231381,https://book.douban.com/subject/4231381/,那些回不去的年少时光,,桐华|江苏文艺出版社|2010-01|23.80元
3017857,https://book.douban.com/subject/3017857/,金锁记,,张爱玲|哈尔滨出版社|2005-6|13.5元
1013416,https://book.douban.com/subject/1013416/,雷雨,,曹禺|人民文学出版社|1999-05|9.20
1205054,https://book.douban.com/subject/1205054/,悲惨世界（上中下）,,[法] 雨果|李丹|人民文学出版社|1992-6|66.00元
1033778,https://book.douban.com/subject/1033778/,富爸爸，穷爸爸,,（美）罗伯特・T・清崎|杨君，杨明|世界图书出版公司|2000-09|18.80
1086249,https://book.douban.com/subject/1086249/,荆棘鸟,,[澳] 考琳·麦卡洛|曾胡|译林出版社|1998-7|28.00元
1029111,https://book.douban.com/subject/1029111/,哭泣的骆驼,,三毛|哈尔滨出版社|2003-6|15.80元
1008357,https://book.douban.com/subject/1008357/,水浒传（全二册）,,[明] 施耐庵|人民文学出版社|1997-1|50.60元
1029553,https://book.douban.com/subject/1029553/,西游记（全二册）,,吴承恩|黄肃秋 注释|人民文学出版社|2004-8|47.20元
1346815,https://book.douban.com/subject/1346815/,一個人住第5年,,高木直子|洪俞君|大田|2004-12-1|NT$220
1058661,https://book.douban.com/subject/1058661/,飞鸟集,,[印] 罗宾德拉纳德·泰戈尔|徐翰林|哈尔滨出版社|2004-6|16.80元
6798611,https://book.douban.com/subject/6798611/,史蒂夫·乔布斯传,,[美] 沃尔特·艾萨克森|管延圻|中信出版社|2011-10-24|68.00元
1398395,https://book.douban.com/subject/1398395/,狂人日记,,鲁迅|京华出版社|2006-3|39.80元
5414391,https://book.douban.com/subject/5414391/,寻路中国,从乡村到工厂的自驾之旅,[美] 彼得·海斯勒|李雪顺|上海译文出版社|2011-1|33.00元
1070851,https://book.douban.com/subject/1070851/,倚天屠龙记(共四册),,金庸|三联书店|1999-04|47.00
1212893,https://book.douban.com/subject/1212893/,鹿鼎记（全五册）,,金庸|广州出版社 花城出版社|2008-3|108.00元
24754316,https://book.douban.com/subject/24754316/,最好的我们,,八月长安|湖南文艺出版社|2013-8-5|55
1474773,https://book.douban.com/subject/1474773/,海贼王,ONE PIECE,尾田荣一郎|董科|浙江人民美术出版社|2007-11|7.50元
3344676,https://book.douban.com/subject/3344676/,常识,,梁文道|广西师范大学出版社|2009-1|38.00
1209899,https://book.douban.com/subject/1209899/,我与地坛,史铁生代表作,史铁生|春风文艺出版社|2002-5|25.00元
1865089,https://book.douban.com/subject/1865089/,瓦尔登湖,,[美] 梭罗|徐迟|上海译文出版社|2006-8|11.00元
4166819,https://book.douban.com/subject/4166819/,你好，旧时光（上 下）,,八月长安|新世界出版社|2009-12|39.80元
1082349,https://book.douban.com/subject/1082349/,长恨歌,,王安忆|南海出版公司|2003-8|22.00元
2056749,https://book.douban.com/subject/2056749/,时间旅行者的妻子,,[美] 奥德丽·尼芬格|夏金|人民文学出版社|2007-4|29.90元
1034282,https://book.douban.com/subject/1034282/,时间简史,插图本,[英] 史蒂芬·霍金|许明贤|湖南科学技术出版社|2010-4|45.00元
4874131,https://book.douban.com/subject/4874131/,东霓,,笛安|长江文艺出版社|2010-7-1|26.80元
1005521,https://book.douban.com/subject/1005521/,伊豆的舞女,,[日] 川端康成|叶渭渠|广西师范大学出版社|2002-2|23.80元
1060852,https://book.douban.com/subject/1060852/,呼兰河传,1947年版本・原版珍藏,萧红|百花文艺出版社|2005-01|19.00
5366248,https://book.douban.com/subject/5366248/,你一定爱读的极简欧洲史,为什么欧洲对现代文明的影响这么深,约翰·赫斯特（John Hirst）|席玉苹|广西师范大学出版社|2011-11-25|25.00元
4238754,https://book.douban.com/subject/4238754/,失恋33天,小说，或是指南,鲍鲸鲸|中信出版社|2010-1|25.00元
1007433,https://book.douban.com/subject/1007433/,红与黑,,[法] 司汤达|张冠尧|人民文学出版社|2002|20.00元
26878124,https://book.douban.com/subject/26878124/,我的天才女友,那不勒斯四部曲-01,[意] 埃莱娜·费兰特|陈英|人民文学出版社|2017-1|42.00元
1036274,https://book.douban.com/subject/1036274/,夏洛的网,,[美] E.B.怀特|任溶溶|上海译文出版社|2004-5|17.00元
1003479,https://book.douban.com/subject/1003479/,中国历代政治得失,,钱穆|生活·读书·新知三联书店|2001|12.00元
6880158,https://book.douban.com/subject/6880158/,陆犯焉识,,严歌苓|作家出版社|2011-10|35.00元
1027191,https://book.douban.com/subject/1027191/,历史深处的忧虑,近距离看美国之一,林达|生活·读书·新知三联书店|1997-5|19.00元
