MovieLink	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
https://movie.douban.com/subject/1296736/	2	4	1	4	6	2
https://movie.douban.com/subject/1291999/	3	3	1	2	7	2
https://movie.douban.com/subject/1304141/	2	3	1	3	7	2
https://movie.douban.com/subject/1419936/	3	2	1	3	7	2
https://movie.douban.com/subject/3071441/	3	1	1	7	4	0
https://movie.douban.com/subject/4202302/	3	2	1	3	7	2
https://movie.douban.com/subject/5323968/	2	3	1	6	5	1
https://movie.douban.com/subject/1291572/	3	3	1	4	6	2
https://movie.douban.com/subject/24745500/	2	2	1	4	7	1
https://movie.douban.com/subject/4305436/	1	2	1	2	8	1
https://movie.douban.com/subject/6846495/	5	1	2	2	5	4
https://movie.douban.com/subject/1292233/	4	2	1	2	7	0
https://movie.douban.com/subject/1981242/	6	1	0	0	6	1
https://movie.douban.com/subject/2297265/	5	2	2	1	6	2
https://movie.douban.com/subject/25837262/	2	0	1	4	7	2
https://movie.douban.com/subject/26303622/	6	1	1	4	4	2
https://movie.douban.com/subject/3168089/	2	2	0	4	7	1
https://movie.douban.com/subject/3649049/	4	2	1	2	7	0
https://movie.douban.com/subject/5344178/	4	1	2	2	7	0
https://movie.douban.com/subject/10590706/	4	2	1	4	6	0
https://movie.douban.com/subject/1292328/	3	3	1	3	6	3
https://movie.douban.com/subject/1292434/	2	1	1	3	7	3
https://movie.douban.com/subject/1300267/	3	3	1	2	7	1
https://movie.douban.com/subject/1793929/	3	2	1	3	7	1
https://movie.douban.com/subject/23331914/	0	1	0	6	6	0
https://movie.douban.com/subject/26761416/	4	1	0	4	6	2
https://movie.douban.com/subject/3073124/	5	2	0	2	6	2
https://movie.douban.com/subject/3072086/	2	1	1	4	7	1
https://movie.douban.com/subject/3072124/	2	3	1	0	7	3
https://movie.douban.com/subject/3077791/	5	1	0	3	6	1
https://movie.douban.com/subject/10512661/	2	4	1	5	4	3
https://movie.douban.com/subject/11606328/	3	1	0	6	5	0
https://movie.douban.com/subject/1294639/	2	2	2	3	7	1
https://movie.douban.com/subject/1867345/	1	4	2	1	7	0
https://movie.douban.com/subject/26972258/	2	1	1	4	7	0
https://movie.douban.com/subject/3158990/	1	1	0	2	8	1
https://movie.douban.com/subject/5322596/	1	4	1	4	6	1
https://movie.douban.com/subject/1388216/	4	3	1	2	6	2
https://movie.douban.com/subject/1306939/	1	1	1	1	8	1
https://movie.douban.com/subject/2124586/	5	1	1	4	5	1
https://movie.douban.com/subject/2156528/	2	2	2	2	7	2
https://movie.douban.com/subject/24875534/	5	1	1	5	4	1
https://movie.douban.com/subject/3734350/	1	1	1	1	8	1
https://movie.douban.com/subject/26647117/	5	3	2	2	5	1
https://movie.douban.com/subject/3626416/	5	1	1	2	6	1
https://movie.douban.com/subject/10440138/	4	3	0	4	5	1
https://movie.douban.com/subject/1292062/	2	4	1	3	6	1
https://movie.douban.com/subject/1308857/	3	3	3	2	6	0
https://movie.douban.com/subject/22523356/	3	2	1	2	7	0
https://movie.douban.com/subject/24719063/	4	1	2	3	6	1
https://movie.douban.com/subject/26265170/	3	2	0	5	5	2
https://movie.douban.com/subject/26354572/	2	3	0	2	7	1
https://movie.douban.com/subject/26787574/	2	3	0	5	5	2
https://movie.douban.com/subject/27059130/	3	1	1	4	6	2
https://movie.douban.com/subject/3025375/	4	3	1	4	5	0
https://movie.douban.com/subject/10574468/	2	3	1	4	6	0
https://movie.douban.com/subject/1783457/	4	2	0	3	6	1
https://movie.douban.com/subject/2124703/	4	2	2	4	5	1
https://movie.douban.com/subject/25814707/	3	3	2	2	6	2
https://movie.douban.com/subject/26311973/	6	3	2	2	3	2
https://movie.douban.com/subject/1316510/	4	4	2	3	4	2
https://movie.douban.com/subject/6973376/	6	0	0	2	4	3
https://movie.douban.com/subject/2209575/	5	1	0	3	5	2
https://movie.douban.com/subject/2357162/	3	2	1	1	7	0
https://movie.douban.com/subject/25820460/	1	3	0	5	5	2
https://movie.douban.com/subject/25827935/	2	1	0	1	7	3
https://movie.douban.com/subject/26698897/	4	3	1	1	6	1
https://movie.douban.com/subject/6126442/	5	1	2	3	5	0
https://movie.douban.com/subject/1418200/	2	3	1	2	6	3
https://movie.douban.com/subject/26270502/	2	1	0	3	7	0
https://movie.douban.com/subject/6390823/	2	2	1	7	2	1
https://movie.douban.com/subject/1291879/	2	4	2	3	5	2
https://movie.douban.com/subject/1302827/	4	2	1	2	6	1
https://movie.douban.com/subject/1304102/	5	3	1	1	5	1
https://movie.douban.com/subject/1304447/	4	3	2	2	5	2
https://movie.douban.com/subject/1393859/	2	2	1	4	6	1
https://movie.douban.com/subject/4915857/	2	1	2	2	7	0
https://movie.douban.com/subject/10463953/	2	2	0	4	6	1
https://movie.douban.com/subject/1301753/	4	3	1	3	5	1
https://movie.douban.com/subject/1309069/	4	3	1	3	5	1
https://movie.douban.com/subject/3731581/	4	2	0	2	6	1
https://movie.douban.com/subject/2131940/	2	1	2	5	5	1
https://movie.douban.com/subject/25890005/	3	1	1	3	6	2
https://movie.douban.com/subject/3007773/	1	2	1	2	7	1
https://movie.douban.com/subject/1292274/	1	4	1	2	6	1
https://movie.douban.com/subject/25954475/	2	2	1	4	5	3
https://movie.douban.com/subject/30170448/	2	3	1	3	6	0
https://movie.douban.com/subject/21937452/	0	2	2	1	7	0
https://movie.douban.com/subject/26630781/	4	2	1	1	6	0
https://movie.douban.com/subject/26636712/	3	2	0	3	6	0
https://movie.douban.com/subject/4191644/	1	2	0	4	6	1
https://movie.douban.com/subject/4917726/	3	2	2	1	6	2
https://movie.douban.com/subject/6890730/	1	2	2	3	6	2
https://movie.douban.com/subject/26990609/	1	2	0	4	6	0
https://movie.douban.com/subject/5450891/	3	3	2	1	5	3
https://movie.douban.com/subject/1297630/	1	3	1	3	6	0
https://movie.douban.com/subject/2043546/	4	2	1	3	5	1
https://movie.douban.com/subject/25787888/	5	1	0	1	5	2
https://movie.douban.com/subject/1292659/	3	3	1	0	6	0
https://movie.douban.com/subject/1293530/	1	2	1	3	6	2
https://movie.douban.com/subject/1295038/	2	2	2	3	5	3
https://movie.douban.com/subject/1300055/	3	0	1	3	6	0
https://movie.douban.com/subject/1303037/	3	3	1	2	4	4
https://movie.douban.com/subject/1578507/	4	3	2	3	4	1
https://movie.douban.com/subject/3023164/	3	1	1	2	6	2
https://movie.douban.com/subject/6952149/	5	2	0	3	4	1
https://movie.douban.com/subject/1298759/	2	1	0	0	7	0
https://movie.douban.com/subject/1945336/	4	1	0	1	6	0
https://movie.douban.com/subject/1959877/	1	3	0	2	6	2
https://movie.douban.com/subject/2133323/	2	0	2	3	6	1
https://movie.douban.com/subject/21352814/	2	1	2	5	4	2
https://movie.douban.com/subject/25937854/	2	3	0	6	2	1
https://movie.douban.com/subject/26925317/	4	2	1	4	4	1
https://movie.douban.com/subject/3442220/	4	2	1	2	5	2
https://movie.douban.com/subject/25884801/	2	2	2	4	5	0
https://movie.douban.com/subject/3036997/	2	0	0	3	6	2
https://movie.douban.com/subject/3217169/	2	2	0	6	3	0
https://movie.douban.com/subject/4873490/	2	2	2	2	6	1
https://movie.douban.com/subject/1291580/	5	1	0	3	4	1
https://movie.douban.com/subject/1291844/	4	0	1	3	5	1
https://movie.douban.com/subject/26752852/	0	0	0	4	6	0
https://movie.douban.com/subject/27038183/	3	2	1	5	3	2
https://movie.douban.com/subject/2997076/	3	1	1	4	5	0
https://movie.douban.com/subject/3041806/	2	2	0	2	6	2
https://movie.douban.com/subject/3443389/	4	3	3	3	3	0
https://movie.douban.com/subject/3596502/	4	1	0	3	5	1
https://movie.douban.com/subject/1292528/	4	2	1	2	5	1
https://movie.douban.com/subject/1297192/	5	1	1	2	4	2
https://movie.douban.com/subject/3824672/	2	3	0	2	5	3
https://movie.douban.com/subject/1652592/	2	1	1	2	6	2
https://movie.douban.com/subject/19944106/	2	2	2	5	3	2
https://movie.douban.com/subject/26688480/	2	2	0	4	5	1
https://movie.douban.com/subject/26942674/	2	2	0	5	4	1
https://movie.douban.com/subject/4804079/	2	2	1	2	6	1
https://movie.douban.com/subject/6560058/	0	2	1	6	3	0
https://movie.douban.com/subject/1291575/	4	2	0	3	4	2
https://movie.douban.com/subject/1291992/	2	1	0	2	6	2
https://movie.douban.com/subject/25966044/	0	2	0	4	5	2
https://movie.douban.com/subject/1297574/	3	3	0	1	5	2
https://movie.douban.com/subject/1298898/	0	3	1	3	5	2
